X1,X2,Y
68.93676528083633,27.28979775370601,Yellow
6.441438484063433,94.4296818425984,Red
11.45660890842447,90.66070155727652,Red
15.934097404110226,28.927925560918986,Red
44.847427302948425,10.069445206703588,Yellow
59.249554719088636,62.548410861104095,Blue
6.524247406055084,86.1358532223288,Red
10.158818447391372,83.54381676885694,Red
93.64062183952304,32.9863610773959,Yellow
18.48407264247285,56.2489871362293,Red
80.68117681659037,88.52331500278845,Blue
66.45602769850095,79.11774356823031,Blue
36.23558590820364,38.50722543881576,Yellow
16.46004364435141,32.01672280575283,Red
20.77310456628799,33.25789678047484,Red
37.08189614526254,47.05505054022092,Red
66.40948067777401,95.98739989512802,Blue
56.931358171861646,52.6488582551899,Blue
21.421868910266674,23.46364611760422,Red
58.23180629976948,60.00849685607845,Blue
8.786768216478858,38.92666343835053,Red
19.526339739486986,70.94226184059717,Red
34.124838777127145,49.924251309856075,Yellow
97.96494489285281,70.94935772008964,Blue
80.87517217883034,32.22767479752441,Yellow
42.57096695629016,48.358055172779515,Yellow
47.8024386704838,84.40413630326287,Blue
12.318414214325546,14.522878071106204,Red
75.73767499315187,1.6115513927054126,Yellow
38.81025068146643,26.246181251145373,Red
25.099302024547388,3.1540635721640897,Red
92.4377416773588,86.47885868475922,Blue
31.584445681020856,53.88528945300809,Blue
68.31017230533402,22.3911802286062,Yellow
22.10432111579993,68.48580588663961,Red
2.849591647423466,94.32750091072346,Red
3.5599394281351504,53.471639863080625,Red
28.34720759269056,47.60594879148181,Red
65.25425340024967,80.90780839681749,Blue
93.49705752387572,85.64655920721097,Blue
1.073787949688454,59.73636592487026,Red
0.4819752548956502,69.84205688061726,Red
20.972211186044643,8.975877485597206,Red
62.857915183753576,91.87966678038268,Blue
64.31946205038747,81.75250051433245,Blue
59.57245424495255,45.589535472277966,Yellow
80.76270845155878,63.317565527155175,Blue
99.72266504268246,74.97069848893219,Blue
13.276573885287723,36.34481647157902,Red
81.93202777695623,66.69170781728005,Blue
34.35600190825483,77.36163339835257,Red
8.344555617853322,96.21238945926589,Red
83.37779110868854,84.8162447504534,Blue
56.55584266262822,67.32600338774762,Blue
1.7030509507048541,8.377083091895422,Red
35.1053756069786,41.049170195322716,Red
34.6258429532971,27.080047192506708,Red
64.40536239976834,97.65054212337063,Blue
20.91157567230748,39.07824438400773,Red
80.5109229130621,63.3237485506601,Blue
23.030912413386606,44.990926964233324,Red
75.11521513965822,6.695985900821865,Yellow
57.54590157601503,55.65149570470774,Yellow
53.0984242586356,10.761674939033028,Yellow
59.676395053182574,0.6512353871773069,Yellow
56.09983604302477,8.355246026969942,Yellow
35.332679126984054,49.47348448135044,Blue
79.49958133310633,10.349814479958475,Yellow
67.72251913959904,86.03360644531612,Blue
80.02687384543965,81.87786677199979,Blue
42.89683472561108,10.096558268781486,Red
27.243012927049925,58.593943617681546,Red
74.30222936212598,99.5182873971456,Blue
6.30871483099712,86.3076537734852,Red
3.665829459782477,45.53009178148191,Red
66.77779184163755,5.126213790915202,Yellow
32.24754838719483,73.580321619208,Red
99.33919377004679,29.974313047515132,Yellow
33.0473638473067,3.171226857673648,Yellow
92.29146270574257,39.71599156957139,Yellow
